rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20168261,원더 우먼,2017-05-31,918976500,33.5,-395234700,-30.1,2265289700,116912,-90032,-43.5,327172,913,4164,2017-06-01
2,2,0,OLD,20169348,대립군,2017-05-31,532286700,19.4,-268622700,-33.5,1427630700,73171,-63069,-46.3,220155,776,3447,2017-06-01
3,3,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,507501000,18.5,-245711300,-32.6,15827160120,67078,-55331,-45.2,1932196,710,3040,2017-06-01
4,4,0,OLD,20174602,노무현입니다,2017-05-25,365275400,13.3,-99702200,-21.4,6817519112,50155,-28425,-36.2,873954,593,2205,2017-06-01
5,5,0,OLD,20175262,겟 아웃,2017-05-17,201343500,7.4,-30562800,-13.2,15195584675,26331,-12771,-32.7,1864924,434,1290,2017-06-01
6,6,1,OLD,20174803,7번째 내가 죽던 날,2017-05-31,30172500,1.1,114500,0.4,69033500,4125,-687,-14.3,10076,230,421,2017-06-01
7,7,-1,OLD,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,27554800,1.0,-8653000,-23.9,7220328125,3779,-2120,-35.9,894556,179,268,2017-06-01
8,8,0,NEW,20162629,하이큐!! 끝과 시작,2016-11-16,22345000,0.8,22345000,100,567191000,3091,3091,100,78795,73,134,2017-06-01
9,9,-1,OLD,20173642,너와 100번째 사랑,2017-05-25,21572500,0.8,2222500,11.5,337172300,2879,-459,-13.8,43239,108,181,2017-06-01
10,10,0,NEW,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,16030100,0.6,16030100,100,20188100,2314,2314,100,2776,107,143,2017-06-01
1,1,0,OLD,20168261,원더 우먼,2017-05-31,1338334495,35.6,419357995,45.6,3603624195,154172,37260,31.9,481344,958,4352,2017-06-02
2,2,1,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,753973405,20.1,246472405,48.6,16581133525,89719,22641,33.8,2021915,722,3106,2017-06-02
3,3,-1,OLD,20169348,대립군,2017-05-31,693724105,18.5,161437405,30.3,2121354805,85851,12680,17.3,306006,786,3419,2017-06-02
4,4,0,OLD,20174602,노무현입니다,2017-05-25,486686800,13.0,121411400,33.2,7304205912,59584,9429,18.8,933538,598,2293,2017-06-02
5,5,0,OLD,20175262,겟 아웃,2017-05-17,269545800,7.2,68202300,33.9,15465130475,31940,5609,21.3,1896864,457,1291,2017-06-02
6,6,0,OLD,20174803,7번째 내가 죽던 날,2017-05-31,38301900,1.0,8129400,26.9,107335400,4721,596,14.4,14797,226,418,2017-06-02
7,7,0,OLD,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,32924600,0.9,5369800,19.5,7253252725,3923,144,3.8,898479,168,264,2017-06-02
8,8,1,OLD,20173642,너와 100번째 사랑,2017-05-25,24753500,0.7,3181000,14.7,361925800,2957,78,2.7,46196,114,189,2017-06-02
9,9,1,OLD,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,12717900,0.3,-3312200,-20.7,32906000,1600,-714,-30.9,4376,104,132,2017-06-02
10,10,1,OLD,20174061,보스 베이비,2017-05-03,10251000,0.3,1122000,12.3,18210589004,1493,74,5.2,2353948,81,99,2017-06-02
1,1,0,OLD,20168261,원더 우먼,2017-05-31,3095098603,37.0,1756764108,131.3,6698722798,356552,202380,131.3,837896,1030,4723,2017-06-03
2,2,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1819417797,21.7,1065444392,141.3,18400551322,215180,125461,139.8,2237095,756,3220,2017-06-03
3,3,0,OLD,20169348,대립군,2017-05-31,1274123297,15.2,580399192,83.7,3395478102,153756,67905,79.1,459762,725,3194,2017-06-03
4,4,0,OLD,20174602,노무현입니다,2017-05-25,992209200,11.8,505522400,103.9,8296415112,119639,60055,100.8,1053177,627,2439,2017-06-03
5,5,0,OLD,20175262,겟 아웃,2017-05-17,513223500,6.1,243677700,90.4,15978353975,61165,29225,91.5,1958029,475,1273,2017-06-03
6,6,3,OLD,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,176507800,2.1,163789900,1287.9,209413800,23444,21844,1365.3,27820,188,379,2017-06-03
7,7,3,OLD,20174061,보스 베이비,2017-05-03,121074600,1.4,110823600,1081.1,18331663604,15992,14499,971.1,2369940,253,346,2017-06-03
8,8,5,OLD,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,69214500,0.8,62238500,892.2,88191000,10637,9586,912.1,13479,162,280,2017-06-03
9,9,-1,OLD,20173642,너와 100번째 사랑,2017-05-25,50424000,0.6,25670500,103.7,412349800,6191,3234,109.4,52387,114,199,2017-06-03
10,10,-4,OLD,20174803,7번째 내가 죽던 날,2017-05-31,48567800,0.6,10265900,26.8,155903200,5901,1180,25,20698,214,331,2017-06-03
1,1,0,OLD,20168261,원더 우먼,2017-05-31,2760802900,36.4,-334295703,-10.8,9459525698,320498,-36054,-10.1,1158394,1034,4649,2017-06-04
2,2,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1626367900,21.4,-193049897,-10.6,20026919222,193400,-21780,-10.1,2430495,776,3184,2017-06-04
3,3,0,OLD,20169348,대립군,2017-05-31,1115793400,14.7,-158329897,-12.4,4511271502,134745,-19011,-12.4,594507,714,3047,2017-06-04
4,4,0,OLD,20174602,노무현입니다,2017-05-25,1020713800,13.5,28504600,2.9,9317128912,123572,3933,3.3,1176749,614,2372,2017-06-04
5,5,0,OLD,20175262,겟 아웃,2017-05-17,429273100,5.7,-83950400,-16.4,16407627075,50722,-10443,-17.1,2008751,474,1260,2017-06-04
6,6,0,OLD,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,165509100,2.2,-10998700,-6.2,374922900,21628,-1816,-7.7,49448,198,414,2017-06-04
7,7,0,OLD,20174061,보스 베이비,2017-05-03,122790800,1.6,1716200,1.4,18454454404,16036,44,0.3,2385976,245,333,2017-06-04
8,8,0,OLD,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,69156000,0.9,-58500,-0.1,157347000,10578,-59,-0.6,24057,167,299,2017-06-04
9,9,0,OLD,20173642,너와 100번째 사랑,2017-05-25,55404500,0.7,4980500,9.9,467754300,6759,568,9.2,59146,114,199,2017-06-04
10,10,0,OLD,20174803,7번째 내가 죽던 날,2017-05-31,42636300,0.6,-5931500,-12.2,198539500,5249,-652,-11,25947,207,319,2017-06-04
1,1,0,OLD,20168261,원더 우먼,2017-05-31,1408071500,35.9,-1352731400,-49,10867597198,182781,-137717,-43,1341175,996,4623,2017-06-05
2,2,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,859232700,21.9,-767135200,-47.2,20886151922,115760,-77640,-40.1,2546255,732,3209,2017-06-05
3,3,1,OLD,20174602,노무현입니다,2017-05-25,571865100,14.6,-448848700,-44,9888994012,78344,-45228,-36.6,1255093,593,2385,2017-06-05
4,4,-1,OLD,20169348,대립군,2017-05-31,534008000,13.6,-581785400,-52.1,5045279502,73276,-61469,-45.6,667783,687,3058,2017-06-05
5,5,0,OLD,20175262,겟 아웃,2017-05-17,253153000,6.5,-176120100,-41,16660780075,33622,-17100,-33.7,2042373,469,1332,2017-06-05
6,6,1,OLD,20174061,보스 베이비,2017-05-03,38956300,1.0,-83834500,-68.3,18493410704,5674,-10362,-64.6,2391650,114,149,2017-06-05
7,7,3,OLD,20174803,7번째 내가 죽던 날,2017-05-31,36129900,0.9,-6506400,-15.3,234669400,5024,-225,-4.3,30971,220,366,2017-06-05
8,8,1,OLD,20173642,너와 100번째 사랑,2017-05-25,33920500,0.9,-21484000,-38.8,501674800,4660,-2099,-31.1,63806,109,198,2017-06-05
9,9,-3,OLD,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,31867200,0.8,-133641900,-80.7,406790100,4650,-16978,-78.5,54098,142,216,2017-06-05
10,10,2,OLD,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,34093200,0.9,-5494400,-13.9,7370844825,4476,-145,-3.1,912747,161,249,2017-06-05
1,1,22,OLD,20166488,미이라,2017-06-06,7395114400,58.7,7389963400,143466.6,7403515400,873117,872814,288057.4,873670,1257,7039,2017-06-06
2,2,-1,OLD,20168261,원더 우먼,2017-05-31,1655383600,13.1,247312100,17.6,12522980798,203859,21078,11.5,1545034,750,2958,2017-06-06
3,3,-1,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1142420500,9.1,283187800,33,22028572422,140246,24486,21.2,2686501,561,2102,2017-06-06
4,4,-1,OLD,20174602,노무현입니다,2017-05-25,947075900,7.5,375210800,65.6,10836069912,117280,38936,49.7,1372373,557,1751,2017-06-06
5,5,-1,OLD,20169348,대립군,2017-05-31,494292500,3.9,-39715500,-7.4,5539572002,61573,-11703,-16,729356,534,1535,2017-06-06
6,6,-1,OLD,20175262,겟 아웃,2017-05-17,252628500,2.0,-524500,-0.2,16913408575,30499,-3123,-9.3,2072872,290,650,2017-06-06
7,7,2,OLD,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,215992000,1.7,184124800,577.8,622782100,28812,24162,519.6,82910,187,367,2017-06-06
8,8,-2,OLD,20174061,보스 베이비,2017-05-03,163845100,1.3,124888800,320.6,18657255804,21751,16077,283.3,2413401,182,254,2017-06-06
9,9,2,OLD,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,118994500,0.9,101167000,567.5,294169000,18370,15671,580.6,45126,167,270,2017-06-06
10,10,3,OLD,20175581,파워배틀 와치카: 와치가면의 역습,2017-06-01,42720100,0.3,32319200,310.7,139593500,6046,4457,280.5,19331,163,193,2017-06-06
1,1,0,OLD,20166488,미이라,2017-06-06,1639926800,61.4,-5755187600,-77.8,9043442200,214604,-658513,-75.4,1088274,1126,6496,2017-06-07
